
일간그래프(5분평균)
일시,수신,송신
2024.12.01 16:15:00,103526702807.17,18334623446.06
2024.12.01 16:20:00,104550231560.46999,18536596611.600002
2024.12.01 16:25:00,104264422982.1,18622895868.260002
2024.12.01 16:30:00,105779896453.35,19075747150.890007
2024.12.01 16:35:00,104946185552.55998,18812387224.02
2024.12.01 16:40:00,104469415478.75,19212210464.629993
2024.12.01 16:45:00,105398090532.67,18940495063.1
2024.12.01 16:50:00,108234334029.49,19114472491.170002
2024.12.01 16:55:00,105318077275.21,19178252854.65
2024.12.01 17:00:00,109255352976.98001,19698387390.07
2024.12.01 17:05:00,109028964158.4,19954639147.739998
2024.12.01 17:10:00,110896733346.82,20158661841.390003
2024.12.01 17:15:00,111704908530.73001,20210715523.859997
2024.12.01 17:20:00,112600173941.56,20428401353.08
2024.12.01 17:25:00,113909404636.86,20526888772.84
2024.12.01 17:30:00,116978216097.35,20996177668.590004
2024.12.01 17:35:00,114506490558.99998,20638174696.48
2024.12.01 17:40:00,113894505521.98996,20726336404.090004
2024.12.01 17:45:00,114210918484.83002,20697569767.42
2024.12.01 17:50:00,116854829677.98999,20990054311.29
2024.12.01 17:55:00,117542402204.09,21019170260.75
2024.12.01 18:00:00,117608959202.07997,21396990306.050007
2024.12.01 18:05:00,116751750094.5,21643484080.519997
2024.12.01 18:10:00,116919568414.53,21599715778.82
2024.12.01 18:15:00,117385386660.09,21703477293.129993
2024.12.01 18:20:00,119247357498.25,21908327937.399998
2024.12.01 18:25:00,119237264909.21999,21858828518.87
2024.12.01 18:30:00,120568933598.42,22419798817.17
2024.12.01 18:35:00,120730704169.57999,22438119742.750004
2024.12.01 18:40:00,120743677030.20999,22789622820.590004
2024.12.01 18:45:00,120772442718.67,22749374940.699997
2024.12.01 18:50:00,123049051955.34999,23058077825.950005
2024.12.01 18:55:00,125612942791.9,23168416952.420002
2024.12.01 19:00:00,128294597068.79001,23713781836.929996
2024.12.01 19:05:00,128364512596.98999,24046807419.46
2024.12.01 19:10:00,130302228549.22998,24534196975.97
2024.12.01 19:15:00,132141818091.82,24718132724.010002
2024.12.01 19:20:00,133928286258.92001,25033925899.7
2024.12.01 19:25:00,132627370109.90001,25009989937.460007
2024.12.01 19:30:00,133845301463.94,25405138164.469997
2024.12.01 19:35:00,135807123997.54001,25691713304.319992
2024.12.01 19:40:00,135973035319.15999,26019427488.960003
2024.12.01 19:45:00,138586079626.78003,26168254315.28
2024.12.01 19:50:00,141324966653.27002,26640423791.46
2024.12.01 19:55:00,143015014866.53998,26913300207.38001
2024.12.01 20:00:00,149936658638.97998,28112339176.070004
2024.12.01 20:05:00,147721156842.12,28541586437
2024.12.01 20:10:00,148699433596.67,28947232679.03
2024.12.01 20:15:00,151132490805.25003,29146240264.289997
2024.12.01 20:20:00,150547700867.65002,29372242121.399998
2024.12.01 20:25:00,151219997422.83,29504291109.61
2024.12.01 20:30:00,153536358909.02,29960256095.72
2024.12.01 20:35:00,157104108326.13,30408357571.26001
2024.12.01 20:40:00,157905151553.86,30619318376.770008
2024.12.01 20:45:00,157698024403.01,30691062578.25
2024.12.01 20:50:00,157935021522.44,31190443942.09
2024.12.01 20:55:00,158300509609.65997,31336221738.730003
2024.12.01 21:00:00,167634169022.61,32371738898.350002
2024.12.01 21:05:00,170997308826.47998,32613857483.83
2024.12.01 21:10:00,169241646009.36996,32831659048.110004
2024.12.01 21:15:00,168876572906.69,32826394086.65
2024.12.01 21:20:00,171291672029.38,33242111715.25
2024.12.01 21:25:00,172085266249.16,33245392845.58
2024.12.01 21:30:00,171953685809.88,33398634564.170002
2024.12.01 21:35:00,171439829912.96,33723692990.770004
2024.12.01 21:40:00,174300620962.18997,34582023760.4
2024.12.01 21:45:00,172147993457.84003,33571743747.239998
2024.12.01 21:50:00,174449326122.08002,33967941216.87001
2024.12.01 21:55:00,172076168919.27,33621642179.550003
